Name,Date,RSI-modified [m/s] ,Jump Height (Imp-Mom) [cm] ,Concentric Impulse % (Asym) (%),Eccentric Deceleration Impulse % (Asym) (%),Landing Impulse % (Asym) (%),,Name,Date,RSI-modified [m/s] ,Jump Height (Imp-Mom) [cm] ,Concentric Impulse % (Asym) (%),Eccentric Deceleration Impulse % (Asym) (%),Landing Impulse % (Asym) (%),,Name,Date,RSI-modified [m/s] ,Jump Height (Imp-Mom) [cm] ,Concentric Impulse % (Asym) (%),Eccentric Deceleration Impulse % (Asym) (%),Landing Impulse % (Asym) (%),Name,Date,RSI-modified [m/s] ,Name,Date,RSI-modified [m/s] ,Name,Date,RSI-modified [m/s] ,Name,Date,RSI-modified [m/s] ,Name,Date,RSI-modified [m/s] ,Name,Date,RSI-modified [m/s] ,Name,Date,RSI-modified [m/s] ,Name,Date,RSI-modified [m/s] ,Name,Date,RSI-modified [m/s] ,Name,Date,RSI-modified [m/s] ,Name,Date,RSI-modified [m/s] ,Name,Date,RSI-modified [m/s] ,Avg,Today vs Avg,vs Last Week
Winston Williams,8/20/2024,0.75,43.3,10.2 L,14 L,39.4 L,,Winston Williams,8/29/2024,0.87,39.4,9.7 R,11.3 L,14.9 R,,Winston Williams,9/5/2024,0.84,39.6,13.5 R,5 L,20.1 R,Winston Williams,9/12/2024,0.85,Winston Williams,9/19/2024,0.87,Winston Williams,9/26/2024,0.85,Winston Williams,10/3/2024,0.78,Winston Williams,10/10/2024,0.86,Winston Williams,10/17/2024,0.79,Winston Williams,10/31/2024,0.74,Winston Williams,11/7/2024,0.74,Winston Williams,11/14/2024,0.78,Winston Williams,11/21/2024,0.8,Winston Williams,12/4/2024,0.93,Winston Williams,12/11/2024,0.92,0.82,10.4%,-1.1%
Zach Jones,8/20/2024,1.04,29.1,5.4 R,17.8 R,29.9 R,,Zach Jones,8/29/2024,1.12,50.5,1 L,9.7 R,18.9 R,,Zach Jones,9/5/2024,1.08,49.3,5.1 L,15.2 R,32.4 R,Zach Jones,9/12/2024,1.15,Zach Jones,9/19/2024,1.21,Zach Jones,9/26/2024,1.21,Zach Jones,10/3/2024,1.2,Zach Jones,10/10/2024,1.22,,,,,,,,,,Zach Jones,11/14/2024,1,,,,,,,,,,1.14,#DIV/0!,#DIV/0!
Zach Kennedy,8/20/2024,0.78,,,,,,Zach Kennedy,8/29/2024,0.69,42.8,11.9 L,24.9 L,83 R,,Zach Kennedy,9/5/2024,0.68,41.5,21 L,16.9 L,88.2 L,Zach Kennedy,9/12/2024,0.87,Zach Kennedy,9/19/2024,0.71,Zach Kennedy,9/26/2024,0.83,Zach Kennedy,10/3/2024,0.79,Zach Kennedy,10/10/2024,0.83,Zach Kennedy,10/17/2024,0.84,Zach Kennedy,10/31/2024,0.81,Zach Kennedy,11/7/2024,0.89,Zach Kennedy,11/14/2024,0.91,Zach Kennedy,11/21/2024,0.9,Zach Kennedy,12/4/2024,0.96,,,,0.82,#DIV/0!,#DIV/0!
Zaire Collier,8/20/2024,0.45,,,,,,Zaire Collier,8/29/2024,0.45,28.2,7.7 L,8.3 L,15.9 L,,Zaire Collier,9/5/2024,0.5,29.9,10.1 L,16.1 R,9.9 R,Zaire Collier,9/12/2024,0.48,Zaire Collier,9/19/2024,0.53,Zaire Collier,9/26/2024,0.55,Zaire Collier,10/3/2024,0.51,Zaire Collier,10/10/2024,0.52,Zaire Collier,10/17/2024,0.57,Zaire Collier,10/31/2024,0.47,Zaire Collier,11/7/2024,0.52,Zaire Collier,11/14/2024,0.57,Zaire Collier,11/21/2024,0.53,Zaire Collier,12/4/2024,0.55,Zaire Collier,12/11/2024,0.57,0.52,9.1%,3.5%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Today vs Avg,vs Last Week
,,0.90,,,,,,,,0.87,,,,,,,,0.88,,,,,,,0.92,,,0.89,,,0.892,,,0.892,,,0.930,,,0.910,,,0.918,,,0.932,,,0.956,,,0.927,,,0.966,,,0.974,0.92,6.0%,0.9%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Best of Season,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2nd Best,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3rd Best,,
